ID,Age,Gender,LicenceCountry,Yrs DL,Points,NCD,Engine cc,Ins Group,Stored,Car Age,Premium
A32655251,58,F,UK,37,4,3,1200,2,Garage,2,233
B69418221,44,F,UK,7,0,1,1400,6,Road,13,228.35
A75488466,34,M,UK,6,4,3,1200,3,Drive,1,230.78
A83758823,28,M,UK,10,0,0,1400,3,Road,1,202.75
B16099711,76,M,UK,34,0,2,1400,2,Garage,11,223.12
B9303340,50,M,UK,18,0,3,1800,5,Drive,8,243.76
B62715325,21,M,UK,1,0,3,1200,6,Road,6,224.5
B24893516,51,M,UK,4,0,3,1400,3,Drive,2,219.01
A49815873,39,M,UK,15,0,4,1400,4,Garage,1,232.48
A70458628,35,M,UK,9,0,0,1400,4,Garage,18,201.13
B64693809,63,M,UK,11,0,2,1400,3,Garage,4,212.4
A44247573,78,M,UK,42,0,1,1600,5,Garage,1,219.9
B38133462,41,M,UK,8,0,0,1200,2,Garage,8,183.44
B50092517,65,M,UK,45,0,1,1200,2,Garage,1,205.34
B17732917,72,F,UK,7,0,4,1600,3,Garage,1,224.12
A78478178,57,M,UK,37,0,3,1200,4,Road,13,261.57
A96931347,67,F,UK,39,0,4,1200,5,Garage,6,246.66
A79810890,36,M,UK,9,0,3,1200,6,Garage,10,229.59
A32157866,35,F,UK,6,0,0,1200,5,Garage,8,188.09
B18000021,58,F,UK,18,0,4,1200,6,Garage,3,239.35
A89620928,67,F,UK,50,0,3,1200,3,Garage,4,230.23
B88336994,63,M,UK,24,0,4,1200,4,Garage,3,240.9
B16596845,26,M,UK,5,0,3,1400,5,Garage,2,214.22
A2356847,68,F,UK,20,0,0,1200,4,Garage,9,200.86
B55430822,58,M,UK,25,0,1,1200,5,Drive,3,221.54
A94307046,36,F,UK,15,0,0,1600,4,Road,1,208.51
B8049904,37,F,UK,18,0,1,1200,5,Garage,2,202.52
B95956776,70,F,UK,44,0,0,1400,4,Garage,2,202.57
B25945468,20,F,UK,1,0,3,1200,4,Garage,1,190.7
B33598712,67,F,UK,39,0,3,1600,4,Garage,1,231.12
B31866860,60,F,UK,22,0,2,1600,4,Garage,1,215.66
A23792386,32,M,UK,7,0,0,1400,5,Road,2,208.57
A85871211,40,M,UK,14,0,4,1600,5,Road,4,258.17
B53711260,19,M,UK,2,0,1,1200,4,Drive,15,199.03
A61535841,55,F,UK,33,0,0,2000,4,Garage,13,208.92
B27226288,77,F,UK,10,0,0,1600,4,Drive,10,206.54
A15046284,23,M,UK,5,0,4,1400,6,Garage,2,225.67
A84322020,72,F,UK,47,0,2,1400,4,Road,11,250.52
B11049040,37,M,UK,4,0,0,1200,3,Road,12,205.68
B56292263,28,M,UK,1,0,2,1600,5,Drive,1,199.81
A31004199,18,M,UK,1,0,1,1400,3,Garage,2,171.59
A72037489,77,F,UK,16,0,1,1200,2,Garage,1,194.42
A26500111,39,M,UK,21,0,4,1400,2,Garage,11,233.93
B81878648,27,F,UK,5,0,1,1200,3,Garage,3,183.74
B84648128,71,F,UK,9,0,0,1200,2,Road,9,205.57
A22994283,62,F,UK,12,0,3,1400,4,Drive,11,236.4
B54987452,56,M,UK,35,8,1,1200,3,Garage,1,234.21
B56979442,25,F,UK,3,0,2,1400,6,Garage,6,201.45
B20274135,43,M,UK,21,0,1,1200,5,Garage,10,215.36
B99041823,32,M,UK,2,0,1,1200,2,Garage,6,178.76
B62917999,35,M,UK,6,0,1,1200,4,Garage,3,195.11
A80446079,67,M,UK,31,0,1,1400,4,Garage,2,213.41
B52982482,72,F,UK,48,0,3,1200,2,Garage,5,225.88
A90781684,24,M,UK,6,0,3,1400,4,Garage,3,212.86
A16140127,31,M,UK,13,0,4,1200,4,Road,6,252.73
A40774643,32,M,UK,5,0,1,1200,6,Road,1,216.74
A56180545,77,F,UK,38,0,1,1600,3,Garage,3,209.79
B81340446,79,M,UK,31,0,2,1400,4,Garage,3,225.53
A45255528,49,F,UK,21,0,3,1200,2,Garage,6,216.98
B50216951,46,M,UK,29,0,3,1200,3,Garage,18,238.07
A52990966,32,F,UK,13,0,2,1400,3,Garage,4,204.31
A94651037,69,F,UK,5,0,1,1200,5,Garage,3,198.06
A85850195,39,F,UK,15,0,4,1200,6,Garage,8,238.71
A93664275,69,F,UK,41,0,4,1400,5,Garage,19,258.46
B52872591,54,F,UK,36,0,3,1200,2,Road,1,238.07
A22719452,77,M,UK,41,8,2,1200,5,Garage,2,255.64
B33504868,21,M,UK,3,0,4,1400,7,Garage,14,232.51
A95201513,49,M,UK,6,4,3,1400,5,Garage,2,234.08
B73086653,47,F,UK,5,0,3,1200,5,Road,1,233.39
A53268863,76,F,UK,20,0,1,1200,3,Garage,3,203.11
A6313508,29,F,UK,11,0,1,1400,6,Garage,1,199.03
B78302181,19,M,UK,2,0,0,1400,6,Garage,4,178.41
B13068247,60,F,UK,14,0,1,1600,3,Drive,19,220.6
A88462911,59,M,UK,12,0,1,1200,6,Garage,1,208.64
A45648056,33,M,UK,2,0,1,1400,6,Garage,13,200.03
A69369926,40,M,UK,5,0,2,1200,6,Garage,1,208.53
A45945202,67,M,UK,3,0,3,1800,4,Garage,12,223.99
B63943726,52,F,UK,21,0,2,1400,3,Garage,3,211.24
A75775750,43,M,UK,10,0,0,1200,2,Garage,10,187.2
B44292214,62,M,UK,30,0,2,1600,7,Garage,9,236.26
B93661147,57,M,UK,17,0,4,1200,3,Road,3,253.51
A83721857,73,F,UK,13,0,4,1400,3,Road,1,248.51
B65754909,55,F,UK,8,0,2,1200,2,Road,15,227.39
A22473883,35,F,UK,3,0,4,1200,6,Garage,1,219.37
B60347640,47,F,UK,12,0,1,1200,2,Garage,7,192.97
B92183931,75,M,UK,47,0,2,1200,3,Garage,3,223.84
B67774951,44,M,UK,14,0,2,1200,5,Garage,1,215.1
B68377111,19,M,UK,2,0,4,1200,6,Garage,1,215.24
A98846507,20,F,UK,2,0,0,1200,4,Road,3,187.85
B75235766,63,M,UK,39,0,2,1200,4,Garage,1,223.19
A21669586,68,F,UK,41,4,2,1200,6,Garage,1,238.94
B28994044,34,M,UK,16,4,0,1400,6,Garage,2,211.44
B85095502,50,M,UK,17,0,3,1200,4,Garage,6,228.7
A93544794,26,F,UK,2,4,1,1200,4,Garage,10,198.88
A12043484,71,M,UK,36,0,3,1200,3,Garage,7,234.47
A35515484,80,F,UK,15,4,0,1200,6,Garage,16,224.19
B49999979,65,M,UK,7,0,2,1600,4,Garage,5,214.34
A13424997,34,M,UK,17,0,3,1200,4,Garage,2,222.41
B33626147,80,F,UK,47,0,2,1400,2,Garage,6,218.12
B38205762,30,F,UK,10,0,3,1200,4,Garage,2,213.16
B89628165,31,F,UK,13,0,1,1400,4,Garage,3,197.1
A22049376,57,M,UK,19,0,3,1200,2,Garage,3,218.99
B75601480,68,F,UK,30,0,4,1600,6,Drive,9,258.94
A36234097,55,M,UK,27,0,0,2000,6,Drive,13,224.72
B62894178,28,F,UK,3,0,2,1400,5,Garage,11,203.93
A55209819,39,M,UK,3,0,0,1800,6,Garage,15,197.47
B44845339,42,M,UK,16,0,3,1400,4,Drive,2,232.39
B48334307,43,M,UK,1,0,2,1800,3,Garage,1,189.02
B11903487,37,M,UK,14,0,2,1400,5,Garage,12,223.28
A79136348,26,M,UK,9,0,4,1200,2,Road,2,235.93
A82902391,37,F,UK,1,0,4,1600,5,Drive,1,218.04
B47551386,21,F,UK,4,0,1,1200,5,Garage,1,185.16
A72414963,58,F,UK,29,8,2,1200,4,Garage,7,247.62
B74181042,52,M,UK,35,0,3,1400,3,Garage,6,231.72
B58405000,79,F,UK,22,0,1,1600,4,Garage,5,211.06
B30886143,66,F,UK,47,0,1,1400,3,Garage,4,210.39
B45162511,31,M,UK,12,0,4,1200,6,Garage,17,246.29
B39002671,27,M,UK,4,0,1,1200,6,Road,1,213.6
A71822294,32,M,UK,7,0,0,1200,2,Garage,17,187.59
B48754210,56,F,UK,27,0,0,1200,2,Road,1,206.06
B29014096,53,M,UK,5,0,4,1200,2,Drive,1,224.13
A27487263,36,F,UK,7,0,2,1200,2,Garage,9,198.13
A31907823,38,F,UK,11,0,4,1200,4,Garage,1,225.02
A87751778,19,F,UK,2,0,4,1400,6,Garage,15,223.21
B84392492,20,M,UK,3,0,1,1400,4,Garage,1,184.26
A71839524,32,M,UK,4,0,0,1400,2,Garage,3,172.68
B32199386,68,F,UK,6,0,2,1200,5,Garage,3,209.4
A41397830,58,M,UK,23,0,2,1400,4,Road,1,239.07
A76075376,40,F,UK,12,0,0,1200,5,Road,10,216.3
A31797343,71,M,UK,53,0,3,1800,7,Garage,4,248.49
A60070849,49,F,UK,31,0,2,1800,5,Garage,9,226.74
B77399420,21,F,UK,2,0,1,1200,2,Garage,1,167.39
B65803379,71,F,UK,49,0,3,1400,5,Road,15,266.92
B26443543,41,M,UK,21,4,1,1200,6,Garage,14,233.94
B27724749,26,F,UK,1,0,3,1400,4,Garage,1,193.57
A80304008,64,F,UK,46,0,1,1400,7,Garage,17,231.67
A23696315,67,M,UK,46,0,4,1200,4,Garage,2,245.8
A52965046,80,F,UK,32,0,0,1200,6,Road,4,227.32
A61676439,76,M,UK,47,0,4,1200,2,Garage,16,248.94
B17151169,23,M,UK,1,0,4,1200,4,Garage,2,206.62
A19821290,52,M,UK,3,0,2,1400,4,Garage,10,209.1
B73849292,33,M,UK,6,0,2,1200,3,Road,1,219.2
A51203450,49,M,UK,30,0,1,1400,3,Garage,4,208.41
B64470297,63,M,UK,3,4,3,1400,3,Garage,5,226.14
A45797173,42,M,UK,2,0,2,1200,4,Garage,3,197.78
A46779780,70,M,UK,7,0,0,1400,4,Road,1,211.06
B34146405,64,M,UK,14,0,4,1400,5,Garage,7,243.66
A24885722,35,F,UK,17,0,2,1400,7,Garage,12,224.88
A64867767,47,F,UK,20,4,2,1400,3,Garage,1,221.77
A31775672,35,M,UK,18,0,0,1400,2,Garage,3,185.43
B63142148,19,M,UK,1,0,3,1200,5,Garage,4,199.67
A66406598,45,M,UK,20,0,2,1200,2,Drive,18,227.51
A76644460,30,F,UK,7,0,3,1200,6,Road,11,242.92
B61794671,79,M,UK,16,0,2,1400,5,Garage,1,221.62
A31751394,45,M,UK,9,0,2,1800,6,Garage,2,217
B31162767,76,M,UK,3,0,0,1200,3,Garage,11,188.33
B63768257,28,M,UK,7,0,2,1400,2,Garage,9,200.89
A38642852,45,M,UK,14,0,2,1400,2,Garage,2,204.63
B68739556,67,M,UK,17,0,2,1400,5,Garage,3,222.38
A40523493,79,M,UK,41,0,3,1400,4,Garage,3,237.77
B85865103,46,M,UK,28,0,0,1200,5,Garage,12,209.8
B19833158,49,M,UK,28,0,2,1200,6,Garage,15,235.13
B40543225,68,M,UK,28,0,2,1200,3,Garage,8,222.91
A91685828,73,F,UK,34,0,2,1200,3,Drive,2,224.23
B24449769,43,M,UK,20,0,1,2000,8,Garage,1,216.59
B17891023,59,F,UK,25,0,0,1600,7,Garage,12,212.81
B91055467,48,F,UK,4,0,0,1600,7,Garage,6,191.69
A65994391,40,M,UK,13,0,3,1400,2,Garage,1,212.29
B68803449,60,M,UK,33,0,2,1200,2,Garage,2,213.02
A61389862,24,F,UK,6,0,2,1600,6,Garage,1,203.34
B90656332,29,M,UK,3,0,3,1600,4,Garage,1,207.9
A16587604,76,M,UK,7,0,3,1200,4,Garage,12,229.75
B88727366,51,F,UK,19,0,0,1400,3,Garage,19,203.08
B32542085,51,M,UK,1,0,3,1400,5,Garage,7,210.73
B12009433,58,F,UK,26,0,4,1400,4,Garage,5,239.25
B82075861,57,F,UK,26,0,0,1200,2,Garage,8,191.5
B11783596,77,F,UK,15,8,1,1400,6,Garage,2,236.79
B49415088,75,F,UK,27,0,4,1200,4,Garage,6,241.64
A63621138,65,M,UK,48,0,0,1600,3,Garage,3,204.3
A86013594,51,M,UK,5,4,0,1600,3,Drive,5,207.2
A19348032,34,F,UK,7,0,0,1200,6,Garage,2,186.72
A88107787,28,M,UK,10,4,4,1400,4,Garage,1,239.92
B94346123,33,F,UK,10,8,4,1200,4,Road,3,271.39
B31955325,48,F,UK,16,8,2,1800,6,Road,7,268.78
B51614735,69,F,UK,1,0,3,1200,5,Garage,4,205.98
A43601442,24,F,UK,2,0,1,1800,7,Garage,9,193.59
B60020663,60,F,UK,28,8,2,1200,3,Road,3,260.58
B79534454,62,M,UK,6,0,2,1400,4,Drive,1,216.86
B9429879,28,F,UK,5,0,4,1200,3,Garage,10,219.63
A95265121,74,M,UK,57,0,3,1400,6,Garage,13,253.29
A72441310,75,F,UK,5,0,2,1200,4,Garage,1,204.15
A16045231,50,M,UK,28,0,3,1400,4,Garage,11,237.46
A72168681,38,F,UK,13,0,3,1600,2,Garage,1,208.55
A71418617,80,F,UK,56,0,2,1200,2,Garage,3,216.35
A13524662,49,M,UK,14,0,2,1400,4,Garage,7,218.55
A1502637,65,M,UK,26,0,1,1200,2,Road,6,224.95
A36489201,75,M,UK,45,0,0,1200,5,Garage,8,214.3
A76208571,39,M,UK,7,0,2,1200,2,Garage,2,197.17
B59591496,69,M,UK,11,4,3,1800,6,Drive,9,258.96
B16016266,27,M,UK,2,0,1,1600,5,Garage,4,189.46
B48264738,48,F,UK,20,0,3,1200,5,Road,2,245.45
B62233695,18,F,UK,1,0,4,1200,4,Road,2,220.66
B74383025,25,M,UK,3,0,4,1400,4,Garage,4,218.44
B48727731,71,M,UK,22,0,4,1200,4,Garage,14,249.96
B36847322,56,F,UK,15,0,4,1200,3,Garage,1,226.77
A62200669,46,M,UK,18,0,2,1400,3,Road,6,235.42
A67151616,49,F,UK,10,4,3,1400,2,Garage,1,221.15
B98887063,65,F,UK,46,0,0,1600,6,Garage,16,219.6
B10273041,30,M,UK,7,0,0,1200,5,Garage,18,200.09
B43632707,27,F,UK,4,0,4,1200,6,Road,6,243.6
A36308460,54,F,UK,32,4,2,1400,5,Garage,5,236.65
A48532297,75,F,UK,41,0,2,1200,2,Garage,17,224.54
B38540526,20,M,UK,2,0,1,1200,4,Garage,2,181.05
B696147,71,M,UK,36,4,0,1600,6,Garage,3,225.28
A31625674,76,M,UK,20,0,2,1200,3,Garage,2,216.31
B84182730,32,F,UK,7,0,1,1600,4,Garage,2,192.27
A69621765,50,F,UK,19,8,2,1800,3,Garage,1,236.44
B61992282,24,M,UK,7,0,4,1400,2,Garage,1,213.25
B93836453,60,M,UK,10,0,3,1200,6,Garage,9,233.72
B9509801,33,M,UK,10,0,4,1400,4,Garage,1,227.9
B91862115,25,F,UK,4,8,4,1400,3,Road,2,257.98
A62453466,57,M,UK,38,0,2,1200,5,Garage,3,226.75
B66349524,60,F,UK,34,0,0,1800,6,Garage,18,218.73
A30966981,79,M,UK,13,0,4,1600,6,Garage,6,247.05
A94872064,54,F,UK,23,0,0,1200,3,Road,1,209.89
A31166033,62,M,UK,16,8,0,1200,5,Garage,12,234.37
B70110977,48,F,UK,17,0,2,1200,4,Garage,1,210.37
A6195172,21,M,UK,1,0,2,1200,4,Garage,1,185.09
B40664032,37,M,UK,14,0,0,1200,4,Garage,7,195.53
B36625594,18,M,UK,1,0,2,1200,4,Garage,2,184.66
A9620047,69,F,UK,1,0,2,1400,5,Garage,17,207.15
B60275301,73,M,UK,25,0,2,1200,6,Garage,3,227.82
B33628620,30,F,UK,7,0,0,1200,5,Garage,12,191.29
A73766648,80,M,UK,15,0,2,1800,5,Road,2,243.26
A93972987,18,F,UK,1,0,0,2000,4,Drive,4,172.81
B78270733,41,F,UK,22,0,2,1200,3,Road,7,232.14
B91546453,61,M,UK,33,8,3,1400,2,Road,4,272.19
A6379545,65,F,UK,44,0,4,1800,7,Road,9,276.29
A81534671,23,M,UK,6,0,1,1400,4,Garage,1,190.92
A24510147,28,F,UK,3,0,0,1600,6,Garage,4,181.43
A57160027,41,M,UK,14,0,0,1200,4,Garage,4,193.96
A33473360,41,M,UK,22,0,2,1200,4,Garage,2,215.97
B83282343,62,F,UK,14,0,0,1400,6,Garage,7,201.84
B98790370,29,F,UK,1,0,0,2000,5,Garage,6,173.2
B79549142,20,F,UK,3,0,2,1600,2,Garage,2,182.49
A69984893,76,F,UK,52,0,2,1200,2,Garage,2,214.55
B95219032,38,M,UK,9,0,2,1600,7,Garage,3,217.91
B44316463,25,M,UK,6,0,4,2000,5,Road,8,251.95
B21805731,52,F,UK,25,0,0,1200,5,Road,12,225.87
B83221425,28,M,UK,2,0,4,1200,4,Drive,2,221.74
A82666947,79,F,UK,40,0,0,1600,6,Garage,5,211.25
A38367203,52,M,UK,14,0,3,1200,5,Garage,8,232.03
A78794553,65,F,UK,45,0,1,1600,4,Road,5,235.22
B75948279,71,M,UK,3,0,0,1200,5,Garage,14,197
B32965104,30,M,UK,12,0,1,1800,6,Road,13,234.86
A36935198,47,M,UK,16,0,4,1400,3,Road,7,255.45
A65731531,66,F,UK,23,0,1,1200,4,Garage,1,205.34
B267127,53,F,UK,35,0,0,1600,4,Garage,6,202.38
A20701235,65,F,UK,1,0,2,1200,5,Garage,13,202.7
A40212825,28,F,UK,2,0,1,1200,6,Garage,3,185.94
B73239676,24,M,UK,4,0,2,1200,3,Garage,1,193.41
A41300322,76,M,UK,36,8,2,1400,7,Garage,5,262.15
A1614497,73,F,UK,4,0,1,1400,7,Garage,11,208.38
B82245520,21,F,UK,4,0,3,1200,5,Garage,1,205.16
B15058037,29,F,UK,12,0,0,1200,2,Road,14,204.71
B81219410,37,F,UK,14,0,2,1200,2,Garage,6,201.49
B40914018,41,M,UK,23,0,4,1400,6,Road,3,263.3
B6135534,77,M,UK,35,0,2,1800,7,Drive,10,248.62
A10906908,27,F,UK,6,0,1,1200,4,Garage,6,191.44
A11568198,56,M,UK,19,0,0,1400,5,Garage,4,202.64
B11145505,66,F,UK,42,0,4,1800,5,Garage,1,245.16
B94400413,47,M,UK,20,0,2,1200,4,Garage,8,221.1
A76876278,57,M,UK,13,0,4,1600,6,Garage,16,252.44
B77684486,33,M,UK,9,0,2,1400,5,Garage,6,214.03
A83902754,31,F,UK,9,0,0,1200,2,Garage,1,172.54
B3584676,65,M,UK,38,0,4,1400,5,Garage,7,251.78
B12889932,23,M,UK,1,4,2,1200,5,Road,5,225.33
B84850022,43,M,UK,12,0,4,1200,6,Garage,2,236.91
A67570863,36,M,UK,3,0,2,1400,3,Drive,1,203.13
A5485510,70,F,UK,30,0,4,1600,5,Garage,10,249.55
B32813610,64,F,UK,30,0,0,1400,2,Road,8,214.34
B46850717,75,F,UK,20,0,3,1400,2,Drive,4,227.17
B98827275,48,F,UK,1,0,1,1200,6,Road,3,204.71
A73349149,31,M,UK,3,0,3,1200,5,Drive,6,221.97
A84512025,46,M,UK,5,0,3,1400,2,Road,2,226.57
A17570497,71,M,UK,31,0,4,1600,4,Road,4,266.15
A78645681,31,F,UK,11,0,3,1400,2,Garage,6,208.92
A6766553,32,M,UK,7,0,1,1400,2,Garage,2,186.36
B84000616,51,M,UK,8,4,2,1400,4,Garage,7,227.73
B22476379,61,M,UK,23,0,0,1400,6,Drive,12,221.68
B22434025,40,F,UK,7,0,0,1600,6,Road,1,208.66
A12642709,34,F,UK,6,0,1,1200,6,Garage,1,194.69
B51542349,25,F,UK,7,0,2,1400,3,Drive,1,202.99
A41052655,59,F,UK,4,0,0,1200,3,Garage,10,183.81
A19969420,42,M,UK,21,0,2,1200,6,Garage,1,220.4
B85587895,38,M,UK,5,0,2,2200,4,Road,5,228.94
B90946926,52,F,UK,5,0,2,1600,4,Garage,2,203.46
B69775312,73,F,UK,55,0,0,1200,5,Garage,1,206.09
B90089444,78,F,UK,10,0,4,1200,2,Garage,8,226.37
A5340198,22,F,UK,3,0,0,1200,4,Garage,1,170.25
A12096065,64,F,UK,37,0,2,1200,5,Drive,18,243.47
A32535932,64,M,UK,31,0,0,1200,6,Road,2,227.68
A22646359,52,M,UK,22,0,2,2000,4,Garage,12,228.43
B79397852,61,F,UK,28,0,3,1200,3,Garage,4,224.84
A91421240,42,F,UK,6,0,1,1800,5,Drive,16,215.97
B45167887,43,F,UK,5,0,2,1400,4,Road,1,220.47
A78273649,36,F,UK,5,4,3,1200,5,Road,8,250.19
B85059474,50,M,UK,29,0,1,1200,2,Road,1,219.73
A49764633,31,F,UK,9,0,1,1200,5,Road,1,214.76
A6388895,38,M,UK,5,0,3,1400,4,Garage,5,216.68
A89034068,35,F,UK,12,0,2,1200,6,Garage,2,211.26
B14263710,73,M,UK,48,0,2,1400,4,Garage,12,235.6
A51471853,29,F,UK,3,0,3,1600,2,Garage,1,194.66
B4167883,38,M,UK,8,0,1,1200,4,Road,1,216.47
A72630888,39,M,UK,7,0,4,1800,3,Garage,6,227.8
A72688231,24,F,UK,3,0,4,1600,5,Drive,3,224.96
A666993,44,M,UK,22,0,4,1400,7,Road,2,264.77
A97051896,73,F,UK,34,0,1,1400,5,Drive,1,221.01
A57580826,33,F,UK,6,0,1,1200,5,Road,1,212.02
B66035664,78,F,UK,22,0,2,1200,4,Garage,1,216.32
B46363087,37,M,UK,10,0,0,1600,5,Garage,4,194.86
B6790462,53,M,UK,3,0,4,1200,3,Road,7,242.25
B96128943,25,M,UK,7,0,2,1200,6,Garage,19,221.86
B60056195,45,M,UK,17,0,3,1400,5,Garage,1,227.6
B15801343,19,F,UK,1,0,4,1400,2,Drive,1,199.82
A85869976,48,F,UK,11,0,2,1600,6,Road,11,241.73
B18696985,77,F,UK,19,4,4,1400,6,Garage,2,255.35
A63045399,48,F,UK,5,0,0,1400,4,Garage,15,192.55
A37312616,50,M,UK,16,0,4,1400,6,Garage,3,241.99
B46613638,64,F,UK,46,0,4,1200,6,Garage,14,256.44
A96993416,20,F,UK,1,0,2,1400,6,Garage,1,186.88
B40304100,67,F,UK,40,0,4,1800,4,Road,8,267.51
B48347812,42,M,UK,16,0,4,1200,5,Garage,2,236.59
B60684770,76,M,UK,21,4,0,1200,2,Garage,12,212.63
A42944872,42,F,UK,15,0,4,1200,3,Road,2,245.26
A88788544,46,F,UK,16,0,0,1200,3,Garage,2,186.51
A14892431,71,F,UK,30,4,0,1200,5,Garage,1,214.35
A77494081,60,F,UK,32,4,3,1200,2,Garage,1,231.31
B52144644,20,M,UK,1,0,1,1200,5,Drive,16,197.68
B31335743,32,F,UK,3,0,3,1200,3,Garage,16,211.41
A41603462,37,M,UK,20,0,4,1200,4,Garage,9,239.99
A3335517,56,M,UK,3,0,0,1400,4,Garage,5,185.7
